Belegnr;Empfänger/Auftraggeber;Datum;Vorgangsart;Buchungsinfo;Soll;Haben;Wg
B00062;AMAZON PRIME MEMBERSHIP;19.02.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00063;ADOBE SYSTEMS SOFTWARE;22.02.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00064;AMAZON EU S.A R.L.;23.02.2025;Kartenzahlung;AMZN Mktp DE 879093;37,80;;EUR
B00065;AMAZON EU S.A R.L.;24.02.2025;Kartenzahlung;AMZN Mktp DE 292070;118,60;;EUR
B00066;Deutsche Bahn AG;24.02.2025;Kartenzahlung;DB FERNVERKEHR TICKET;37,20;;EUR
B00067;BVG Berliner Verkehrsbetriebe;25.02.2025;Folgelastschrift;DEUTSCHLANDTICKET 02/2025;49,00;;EUR
B00068;NETTO MARKEN-DISCOUNT;25.02.2025;Kartenzahlung;NETTO FILIALE 3312;11,10;;EUR
B00069;KAUFLAND BERLIN;28.02.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;49,50;;EUR
B00070;Mustermann Systems GmbH;28.02.2025;Lohn  Gehalt;GEHALT 02/2025 PERS.NR 4711;;2.850,00;EUR
B00071;REWE Markt GmbH;28.02.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;58,00;;EUR
B00072;Fitness First Germany;01.03.2025;Folgelastschrift;MITGLIEDSBEITRAG 03/2025;39,90;;EUR
B00073;Hausverwaltung Bergmann GmbH;01.03.2025;Dauerauftrag;MIETE WOHNUNG 12 03/2025;1.150,00;;EUR
B00074;AMAZON EU S.A R.L.;02.03.2025;Kartenzahlung;AMZN Mktp DE 472735;102,90;;EUR
B00075;Allianz Versicherungs-AG;02.03.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 03/2025;42,50;;EUR
B00076;EDEKA Sander;03.03.2025;Kartenzahlung;EDEKA SAGT DANKE;41,90;;EUR
B00077;dm drogerie markt;04.03.2025;Kartenzahlung;DM FIL 8817 BERLIN;12,00;;EUR
B00078;ALDI SÜD;05.03.2025;Kartenzahlung;ALDI SUED SAGT DANKE;36,40;;EUR
B00079;AMAZON EU S.A R.L.;05.03.2025;Kartenzahlung;AMZN Mktp DE 764283;34,20;;EUR
B00080;SHELL DEUTSCHLAND;05.03.2025;Kartenzahlung;SHELL STATION 1204;48,20;;EUR
B00081;Telekom Deutschland GmbH;05.03.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00082;NETFLIX INTERNATIONAL BV;07.03.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00083;REWE Markt GmbH;08.03.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;26,80;;EUR
B00084;Vodafone GmbH;08.03.2025;Folgelastschrift;MOBILFUNK RECHNUNG 03/2025;19,99;;EUR
B00085;ALDI SÜD;11.03.2025;Kartenzahlung;ALDI SUED SAGT DANKE;39,10;;EUR
B00086;Döner Haus Kreuzberg;11.03.2025;Kartenzahlung;DOENER HAUS;13,00;;EUR
B00087;SPOTIFY AB;11.03.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00088;PayPal Europe S.a.r.l.;13.03.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;28,00;;EUR
B00089;EDEKA Sander;14.03.2025;Kartenzahlung;EDEKA SANDER BERLIN;20,73;;EUR
B00090;Vattenfall Europe Sales GmbH;15.03.2025;Folgelastschrift;STROM ABSCHLAG 03/2025;78,00;;EUR
B00091;PayPal Europe S.a.r.l.;17.03.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;34,00;;EUR
B00092;VAPIANO Berlin Mitte;18.03.2025;Kartenzahlung;VAPIANO MITTE;18,80;;EUR
B00093;ALDI SÜD;19.03.2025;Kartenzahlung;ALDI SUED SAGT DANKE;35,00;;EUR
B00094;AMAZON PRIME MEMBERSHIP;19.03.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00095;ADOBE SYSTEMS SOFTWARE;22.03.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00096;dm drogerie markt;22.03.2025;Kartenzahlung;DM FIL 8817 BERLIN;8,90;;EUR
B00097;Sparkasse Geldautomat;24.03.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.03/BERLIN;200,00;;EUR
B00098;BVG Berliner Verkehrsbetriebe;25.03.2025;Folgelastschrift;DEUTSCHLANDTICKET 03/2025;49,00;;EUR
B00099;KAUFLAND BERLIN;25.03.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;88,10;;EUR
B00100;EDEKA Sander;27.03.2025;Kartenzahlung;EDEKA SAGT DANKE;11,20;;EUR
B00101;DEAN AND DAVID;28.03.2025;Kartenzahlung;DEAN+DAVID 1188;15,40;;EUR
B00102;Mustermann Systems GmbH;28.03.2025;Lohn  Gehalt;GEHALT 03/2025 PERS.NR 4711;;2.850,00;EUR
B00103;Fitness First Germany;01.04.2025;Folgelastschrift;MITGLIEDSBEITRAG 04/2025;39,90;;EUR
B00104;Hausverwaltung Bergmann GmbH;01.04.2025;Dauerauftrag;MIETE WOHNUNG 12 04/2025;1.150,00;;EUR
B00105;Allianz Versicherungs-AG;02.04.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 04/2025;42,50;;EUR
B00106;AMAZON EU S.A R.L.;03.04.2025;Kartenzahlung;AMZN Mktp DE 536462;80,80;;EUR
B00107;AMAZON EU S.A R.L.;03.04.2025;Gutschrift;AMZN RETOUR ERSTATTUNG;;34,90;EUR
B00108;Cafe Milchbart;05.04.2025;Kartenzahlung;CAFE MILCHBART;5,50;;EUR
B00109;PayPal Europe S.a.r.l.;05.04.2025;Online-Ueberweisung;PP.4711.PP . ANNA WEBER, Ihre Zahlung;25,00;;EUR
B00110;Telekom Deutschland GmbH;05.04.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00111;AMAZON EU S.A R.L.;07.04.2025;Kartenzahlung;AMZN Mktp DE 153129;88,80;;EUR
B00112;Döner Haus Kreuzberg;07.04.2025;Kartenzahlung;DOENER HAUS;8,00;;EUR
B00113;NETFLIX INTERNATIONAL BV;07.04.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00114;Vodafone GmbH;08.04.2025;Folgelastschrift;MOBILFUNK RECHNUNG 04/2025;19,99;;EUR
B00115;AMAZON EU S.A R.L.;09.04.2025;Kartenzahlung;AMZN Mktp DE 644552;58,10;;EUR
B00116;LIDL Vertriebs GmbH;09.04.2025;Kartenzahlung;LIDL DANKT IHNEN;12,70;;EUR
B00117;Bäckerei Steinecke;10.04.2025;Kartenzahlung;BAECKEREI STEINECKE;10,90;;EUR
B00118;Deutsche Bahn AG;11.04.2025;Kartenzahlung;DB FERNVERKEHR TICKET;26,70;;EUR
B00119;SPOTIFY AB;11.04.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00120;UBER BV;11.04.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;23,70;;EUR
B00121;UBER BV;13.04.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;21,00;;EUR
B00122;Vattenfall Europe Sales GmbH;15.04.2025;Folgelastschrift;STROM ABSCHLAG 04/2025;78,00;;EUR
B00123;AMAZON PRIME MEMBERSHIP;19.04.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00124;LIDL Vertriebs GmbH;21.04.2025;Kartenzahlung;LIDL DANKT IHNEN;10,10;;EUR
B00125;VAPIANO Berlin Mitte;21.04.2025;Kartenzahlung;VAPIANO MITTE;30,60;;EUR
B00126;ADOBE SYSTEMS SOFTWARE;22.04.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00127;ALDI SÜD;22.04.2025;Kartenzahlung;ALDI SUED SAGT DANKE;49,30;;EUR
B00128;LIDL Vertriebs GmbH;23.04.2025;Kartenzahlung;LIDL DANKT IHNEN;31,20;;EUR
B00129;NETTO MARKEN-DISCOUNT;24.04.2025;Kartenzahlung;NETTO FILIALE 3312;10,10;;EUR
B00130;BVG Berliner Verkehrsbetriebe;25.04.2025;Folgelastschrift;DEUTSCHLANDTICKET 04/2025;49,00;;EUR
B00131;DEAN AND DAVID;26.04.2025;Kartenzahlung;DEAN+DAVID 1188;17,70;;EUR
B00132;NETTO MARKEN-DISCOUNT;26.04.2025;Kartenzahlung;NETTO FILIALE 3312;17,10;;EUR
B00133;Sparkasse Geldautomat;26.04.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.04/BERLIN;100,00;;EUR
B00134;LIDL Vertriebs GmbH;27.04.2025;Kartenzahlung;LIDL DANKT IHNEN;14,10;;EUR
B00135;Sparkasse Geldautomat;27.04.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.04/BERLIN;50,00;;EUR
B00136;dm drogerie markt;27.04.2025;Kartenzahlung;DM FIL 8817 BERLIN;21,00;;EUR
B00137;KAUFLAND BERLIN;28.04.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;76,20;;EUR
B00138;Mustermann Systems GmbH;28.04.2025;Lohn  Gehalt;GEHALT 04/2025 PERS.NR 4711;;2.850,00;EUR
B00139;AMAZON EU S.A R.L.;01.05.2025;Kartenzahlung;AMZN Mktp DE 822076;15,70;;EUR
B00140;Fitness First Germany;01.05.2025;Folgelastschrift;MITGLIEDSBEITRAG 05/2025;39,90;;EUR
B00141;Hausverwaltung Bergmann GmbH;01.05.2025;Dauerauftrag;MIETE WOHNUNG 12 05/2025;1.150,00;;EUR
B00142;LIDL Vertriebs GmbH;01.05.2025;Kartenzahlung;LIDL DANKT IHNEN;20,40;;EUR
B00143;Allianz Versicherungs-AG;02.05.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 05/2025;42,50;;EUR
B00144;PayPal Europe S.a.r.l.;02.05.2025;Online-Ueberweisung;PP.4711.PP . JONAS KELLER, Ihre Zahlung;32,50;;EUR
B00145;Deutsche Bahn AG;05.05.2025;Kartenzahlung;DB FERNVERKEHR TICKET;50,10;;EUR
B00146;Telekom Deutschland GmbH;05.05.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00147;ALDI SÜD;07.05.2025;Kartenzahlung;ALDI SUED SAGT DANKE;13,80;;EUR
B00148;NETFLIX INTERNATIONAL BV;07.05.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00149;ROSSMANN Drogeriemarkt;08.05.2025;Kartenzahlung;ROSSMANN DROGERIEMARKT BERLIN;18,92;;EUR
B00150;Vodafone GmbH;08.05.2025;Folgelastschrift;MOBILFUNK RECHNUNG 05/2025;19,99;;EUR
B00151;dm drogerie markt;08.05.2025;Kartenzahlung;DM FIL 8817 BERLIN;30,80;;EUR
B00152;ALDI SÜD;09.05.2025;Kartenzahlung;ALDI SUED SAGT DANKE;52,50;;EUR
B00153;Lieferando.de;09.05.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;31,20;;EUR
B00154;Bäckerei Steinecke;10.05.2025;Kartenzahlung;BAECKEREI STEINECKE;11,40;;EUR
B00155;NETTO MARKEN-DISCOUNT;11.05.2025;Kartenzahlung;NETTO FILIALE 3312;23,10;;EUR
B00156;SPOTIFY AB;11.05.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00157;DEAN AND DAVID;13.05.2025;Kartenzahlung;DEAN+DAVID 1188;15,40;;EUR
B00158;NETTO MARKEN-DISCOUNT;14.05.2025;Kartenzahlung;NETTO FILIALE 3312;15,00;;EUR
B00159;REWE Markt GmbH;15.05.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;65,80;;EUR
B00160;Vattenfall Europe Sales GmbH;15.05.2025;Folgelastschrift;STROM ABSCHLAG 05/2025;78,00;;EUR
B00161;ALDI SÜD;19.05.2025;Kartenzahlung;ALDI SUED SAGT DANKE;52,10;;EUR
B00162;AMAZON PRIME MEMBERSHIP;19.05.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00163;EDEKA Sander;20.05.2025;Kartenzahlung;EDEKA SAGT DANKE;14,80;;EUR
B00164;ADOBE SYSTEMS SOFTWARE;22.05.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00165;Döner Haus Kreuzberg;22.05.2025;Kartenzahlung;DOENER HAUS;13,10;;EUR
B00166;Bäckerei Steinecke;23.05.2025;Kartenzahlung;BAECKEREI STEINECKE;6,80;;EUR
B00167;REWE Markt GmbH;23.05.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;70,70;;EUR
B00168;UBER BV;23.05.2025;Kartenzahlung;UBER TRIP HELP.UBER.COM;19,30;;EUR
B00169;DEAN AND DAVID;24.05.2025;Kartenzahlung;DEAN+DAVID 1188;17,70;;EUR
B00170;DEAN AND DAVID;24.05.2025;Kartenzahlung;DEAN+DAVID 1188;14,20;;EUR
B00171;BVG Berliner Verkehrsbetriebe;25.05.2025;Folgelastschrift;DEUTSCHLANDTICKET 05/2025;49,00;;EUR
B00172;PayPal Europe S.a.r.l.;25.05.2025;Online-Ueberweisung;PP.4711.PP . LEA HOFFMANN, Ihre Zahlung;21,50;;EUR
B00173;AMAZON EU S.A R.L.;26.05.2025;Kartenzahlung;AMZN Mktp DE 796951;50,10;;EUR
B00174;DEAN AND DAVID;26.05.2025;Kartenzahlung;DEAN+DAVID 1188;12,80;;EUR
B00175;Mustermann Systems GmbH;28.05.2025;Lohn  Gehalt;GEHALT 05/2025 PERS.NR 4711;;2.850,00;EUR
B00176;REWE Markt GmbH;28.05.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;44,60;;EUR
B00177;Sparkasse Geldautomat;28.05.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.05/BERLIN;100,00;;EUR
B00178;Deutsche Bahn AG;01.06.2025;Kartenzahlung;DB FERNVERKEHR TICKET;35,20;;EUR
B00179;Fitness First Germany;01.06.2025;Folgelastschrift;MITGLIEDSBEITRAG 06/2025;39,90;;EUR
B00180;Hausverwaltung Bergmann GmbH;01.06.2025;Dauerauftrag;MIETE WOHNUNG 12 06/2025;1.150,00;;EUR
B00181;Lieferando.de;01.06.2025;Kartenzahlung;LIEFERANDO BESTELLUNG;23,00;;EUR
B00182;Allianz Versicherungs-AG;02.06.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 06/2025;42,50;;EUR
B00183;AMAZON EU S.A R.L.;03.06.2025;Kartenzahlung;AMZN Mktp DE 817718;43,20;;EUR
B00184;VAPIANO Berlin Mitte;03.06.2025;Kartenzahlung;VAPIANO MITTE;32,40;;EUR
B00185;EDEKA Sander;04.06.2025;Kartenzahlung;EDEKA SAGT DANKE;30,80;;EUR
B00186;Telekom Deutschland GmbH;05.06.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00187;NETFLIX INTERNATIONAL BV;07.06.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00188;Vodafone GmbH;08.06.2025;Folgelastschrift;MOBILFUNK RECHNUNG 06/2025;19,99;;EUR
B00189;ALDI SÜD;09.06.2025;Kartenzahlung;ALDI SUED SAGT DANKE;38,30;;EUR
B00190;SPOTIFY AB;11.06.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00191;Apotheke am Markt;12.06.2025;Kartenzahlung;APOTHEKE AM MARKT;23,40;;EUR
B00192;AMAZON EU S.A R.L.;14.06.2025;Kartenzahlung;AMZN Mktp DE 500043;15,20;;EUR
B00193;Vattenfall Europe Sales GmbH;15.06.2025;Folgelastschrift;STROM ABSCHLAG 06/2025;78,00;;EUR
B00194;dm drogerie markt;15.06.2025;Kartenzahlung;DM FIL 8817 BERLIN;27,80;;EUR
B00195;KAUFLAND BERLIN;16.06.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;44,30;;EUR
B00196;NETTO MARKEN-DISCOUNT;16.06.2025;Kartenzahlung;NETTO FILIALE 3312;36,30;;EUR
B00197;PayPal Europe S.a.r.l.;16.06.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;18,00;;EUR
B00198;PayPal Europe S.a.r.l.;16.06.2025;Online-Ueberweisung;PP.4711.PP . MAX SCHULZ, Ihre Zahlung;17,00;;EUR
B00199;AMAZON EU S.A R.L.;17.06.2025;Kartenzahlung;AMZN Mktp DE 315587;121,50;;EUR
B00200;dm drogerie markt;17.06.2025;Kartenzahlung;DM FIL 8817 BERLIN;21,60;;EUR
B00201;Cafe Milchbart;18.06.2025;Kartenzahlung;CAFE MILCHBART;11,80;;EUR
B00202;AMAZON PRIME MEMBERSHIP;19.06.2025;Kartenzahlung;AMZN PRIME DE MITGLIEDSCHAFT;8,99;;EUR
B00203;ALDI SÜD;20.06.2025;Kartenzahlung;ALDI SUED SAGT DANKE;31,70;;EUR
B00204;dm drogerie markt;21.06.2025;Kartenzahlung;DM FIL 8817 BERLIN;36,50;;EUR
B00205;ADOBE SYSTEMS SOFTWARE;22.06.2025;Kartenzahlung;ADOBE CREATIVE CLOUD ABO;23,79;;EUR
B00206;dm drogerie markt;23.06.2025;Kartenzahlung;DM FIL 8817 BERLIN;29,20;;EUR
B00207;BVG Berliner Verkehrsbetriebe;25.06.2025;Folgelastschrift;DEUTSCHLANDTICKET 06/2025;49,00;;EUR
B00208;Sparkasse Geldautomat;25.06.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.06/BERLIN;100,00;;EUR
B00209;KAUFLAND BERLIN;26.06.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;87,70;;EUR
B00210;Mustermann Systems GmbH;28.06.2025;Lohn  Gehalt;GEHALT 06/2025 PERS.NR 4711;;2.850,00;EUR
B00211;Fitness First Germany;01.07.2025;Folgelastschrift;MITGLIEDSBEITRAG 07/2025;39,90;;EUR
B00212;Hausverwaltung Bergmann GmbH;01.07.2025;Dauerauftrag;MIETE WOHNUNG 12 07/2025;1.150,00;;EUR
B00213;REWE Markt GmbH;01.07.2025;Kartenzahlung;REWE SAGT DANKE. BIS BALD;67,80;;EUR
B00214;Allianz Versicherungs-AG;02.07.2025;Folgelastschrift;HAUSRAT UND HAFTPFLICHT 07/2025;42,50;;EUR
B00215;Sparkasse Geldautomat;04.07.2025;Bargeldauszahlung;GA NR00012345 BLZ12030000 01.07/BERLIN;200,00;;EUR
B00216;LIDL Vertriebs GmbH;05.07.2025;Kartenzahlung;LIDL DANKT IHNEN;14,80;;EUR
B00217;Telekom Deutschland GmbH;05.07.2025;Folgelastschrift;MAGENTA ZUHAUSE 100 MBIT;39,99;;EUR
B00218;ALDI SÜD;06.07.2025;Kartenzahlung;ALDI SUED SAGT DANKE;30,40;;EUR
B00219;Bäckerei Steinecke;07.07.2025;Kartenzahlung;BAECKEREI STEINECKE;5,60;;EUR
B00220;Bäckerei Steinecke;07.07.2025;Kartenzahlung;BAECKEREI STEINECKE;9,00;;EUR
B00221;NETFLIX INTERNATIONAL BV;07.07.2025;Folgelastschrift;NETFLIX STANDARD ABO;12,99;;EUR
B00222;Vodafone GmbH;08.07.2025;Folgelastschrift;MOBILFUNK RECHNUNG 07/2025;19,99;;EUR
B00223;AMAZON EU S.A R.L.;09.07.2025;Kartenzahlung;AMZN Mktp DE 489728;117,60;;EUR
B00224;NETTO MARKEN-DISCOUNT;09.07.2025;Kartenzahlung;NETTO FILIALE 3312;34,30;;EUR
B00225;VAPIANO Berlin Mitte;10.07.2025;Kartenzahlung;VAPIANO MITTE;31,00;;EUR
B00226;SPOTIFY AB;11.07.2025;Folgelastschrift;SPOTIFY PREMIUM;10,99;;EUR
B00227;AMAZON EU S.A R.L.;12.07.2025;Kartenzahlung;AMZN Mktp DE 242936;42,50;;EUR
B00228;PayPal Europe S.a.r.l.;12.07.2025;Online-Ueberweisung;PP.4711.PP . LEA HOFFMANN, Ihre Zahlung;23,50;;EUR
B00229;SHELL DEUTSCHLAND;12.07.2025;Kartenzahlung;SHELL STATION 1204;75,00;;EUR
B00230;KAUFLAND BERLIN;13.07.2025;Kartenzahlung;KAUFLAND 4711 BERLIN;76,40;;EUR
